"","year","tows","1_mean","1_se","2_mean","2_se","4_mean","4_se"
"1",1990,13,0.925229818797909,0.0363172206746013,0.000307692307692308,0.000307692307692308,0.064847104279014,0.0364414133392587
"2",1991,14,0.986415069438585,0.00848027721570314,0,0,0.0135849305614147,0.00848027721570314
"3",1992,13,0.986082796037547,0.00927109293877825,0,0,0.0124089083365101,0.00877151360556674
"4",1993,9,0.971825396825397,0.0222753050804543,0,0,0.0281746031746032,0.0222753050804543
"5",1994,9,0.985948258669644,0.00970244122964424,0,0,0.0140517413303562,0.00970244122964423
"6",1995,8,0.979819139194139,0.0115126829253764,0,0,0.0201808608058608,0.0115126829253764
"7",1996,9,0.993543561572133,0.00317121261793894,0,0,0.00645643842786678,0.00317121261793894
"8",1997,7,0.980952380952381,0.019047619047619,0,0,0,0
"9",1998,4,0.875,0.125,0,0,0,0
"10",1999,5,0.416588907947399,0.104082413474398,0,0,0,0
"11",2001,8,0.993395018621974,0.0051960577909847,0,0,0,0
"12",2005,9,1,0,0,0,0,0
"13",2006,3,1,0,0,0,0,0
"14",2007,4,0.972826086956522,0.0271739130434783,0,0,0,0
"15",2008,5,1,0,0,0,0,0
"16",2009,13,0.88530563458195,0.0494522538318088,0.0592503781977466,0.0340654379956865,0,0
"17",2011,19,0.888345323745424,0.071888527355971,0.0526315789473684,0.0526315789473684,0.0590230973072076,0.0523740544034465
"18",2012,28,0.917520918698385,0.0438470288610431,0.00510204081632653,0.00510204081632653,0.0773770404852885,0.0413499062082589
"19",2013,30,0.960297334898483,0.0332833090060287,0.00223207686622321,0.00171559764352133,0.0374705882352941,0.0333257178191575
"20",2017,16,0.924131944444444,0.0628522577018941,0,0,0.0758680555555555,0.0628522577018941
