"","Station","Pre4","Pre3","Pre2_n","Pre2_o","Pre1_n","Pre1_o","Recruit_n","Recruit_o","Postrecruit_n","Postrecruit_o","TotMales","JuvFems","MatFems_n","MatFems_o","TotFems"
"1","107",12,11,3,0,2,0,0,0,0,0,28,13,2,0,15
"2","109",4,6,0,0,0,0,0,0,0,0,10,5,0,0,5
"3","106",1,5,2,0,0,0,0,0,0,0,8,2,0,0,2
"4","105",3,1,0,1,0,0,0,0,0,0,5,5,0,0,5
"5","104",1,1,0,0,0,0,0,0,0,0,2,3,0,0,3
"6","103",10,10,0,0,0,0,0,0,0,0,20,4,0,0,4
"7","102",10,68,26,0,3,0,0,0,0,0,107,22,0,0,22
"8","101",17,31,9,0,2,0,0,0,0,0,59,31,1,0,32
"9","108",5,0,1,0,0,0,0,0,0,0,6,12,0,0,12
"10","133",0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
"11","135",4,0,0,0,0,0,0,0,0,0,4,5,0,0,5
"12","136",0,0,3,0,1,0,10,0,1,0,15,0,4,0,4
"13","134",0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
"14","137",3,0,0,0,0,0,0,0,0,0,3,4,0,0,4
"15","138",1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"16","120",21,0,0,0,0,0,0,0,0,0,21,23,0,0,23
"17","119",53,99,14,0,0,0,0,1,0,0,167,99,5,0,104
"18","122",7,0,0,0,0,0,0,0,0,0,7,8,0,0,8
"19","141",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"20","123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","124",1,0,0,1,1,1,2,1,0,4,11,0,2,8,10
"24","121",1,1,0,0,0,0,0,0,0,0,2,2,1,0,3
"25","132",11,0,0,0,0,0,1,0,0,0,12,11,0,0,11
"26","131",16,0,0,0,0,0,0,0,0,0,16,16,0,0,16
"27","130",9,1,3,0,11,0,17,0,5,0,46,24,16,1,41
"28","110",4,3,1,0,0,0,0,0,0,0,8,4,0,0,4
"29","112",1,2,1,0,0,0,0,0,0,0,4,0,1,0,1
"30","111",8,0,0,0,0,0,0,0,0,0,8,5,3,0,8
"31","114",2,0,0,0,0,0,0,0,0,0,2,2,1,0,3
"32","125",9.89,59.33,59.33,3.3,98.89,3.3,29.67,3.3,0,0,267,111,17,0,128
"33","126",5,15,35,0,4,1,1,0,0,0,61,65,72,0,137
"34","116",4,1,6,0,1,0,0,0,0,0,12,6,7,0,13
"35","127",1.98,49.45,47.47,0,41.54,1.98,27.69,5.93,3.96,0,180,191.85,51.26,24.9,268
"36","117",2,1,1,0,2,0,2,0,0,0,8,4,0,1,5
"37","118",3,0,0,0,0,0,0,0,0,0,3,2,0,0,2
"38","129",27,0,0,0,0,0,0,0,0,0,27,30,0,0,30
"39","128",15.56,129.63,134.81,0,46.67,2.59,12.96,7.78,0,0,350,289.72,94.52,28.77,413
